id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0KBR5OX00,公共厕所,公共设施;公共厕所;公共厕所,200300,码头前地与屠场前地交叉口东北20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820008,圣方济各堂区,公共设施,公共厕所,公共厕所,113.557342,22.114989,113.55226554213858,22.11791487225773
B073D0M3IX,公共厕所,公共设施;公共厕所;公共厕所,200300,码头前地与屠场前地交叉口东北20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820008,圣方济各堂区,公共设施,公共厕所,公共厕所,113.556209,22.115882,113.55112969046364,22.11880598557161
B0FFFXFB0A,公共厕所,公共设施;公共厕所;公共厕所,200300,澳门嘉模堂区黑桥街357h附近,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,公共设施,公共厕所,公共厕所,113.562454,22.150392,113.5573872715136,22.15334163322818
B073D00IDN,公共厕所,公共设施;公共厕所;公共厕所,200300,地堡街与黑桥街交叉口东南20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,公共设施,公共厕所,公共厕所,113.561534,22.151109,113.55646514664366,22.154057264173662
B073D00LU7,公共厕所,公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路与学院路交叉口东60米,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,公共设施,公共厕所,公共厕所,113.558653,22.148556,113.55357757662944,22.15149790092346
B073D0M4PS,公共厕所,公共设施;公共厕所;公共厕所,200300,何贤绅士大马路与巴波沙大马路交叉口东60米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,公共设施,公共厕所,公共厕所,113.552804,22.212675,113.54770981811453,22.215628306895592
B0FFG3M0N9,澳门文华东方酒店-洗手间,公共设施;公共厕所;公共厕所,200300,沙格斯大马路,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共厕所,公共厕所,113.552134,22.181345,113.54704006020592,22.184285939272414
B0K279XE0N,公园公共厕所,公共设施;公共厕所;公共厕所,200300,马济时总督大马路29号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共厕所,公共厕所,113.558795,22.184233,113.55371764170832,22.18718855856915
B0FFHSEMZX,宋玉生公园-公共厕所,公共设施;公共厕所;公共厕所,200300,孙逸仙大马路1265号附近,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共厕所,公共厕所,113.555799,22.185456,113.55071423014287,22.188406093615185
B0KRMS3NSW,公共厕所,公共设施;公共厕所;公共厕所,200300,民国大马路2-4号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共厕所,公共厕所,113.54335,22.183052,113.53823143810394,22.18597332436453
B0KDY1WWR8,Wonder Maids Employment Agency,公共设施;公共设施;公共设施,200000,宋玉生广场与罗马街交叉口北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共设施,公共设施,113.556338,22.186134,113.55125453174304,22.18908542401361
B0JK1CK735,和记电话,公共设施;公用电话;公用电话,200200,马徳里街与冼星海大马路交叉口西80米,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公用电话,公用电话,113.558686,22.185607,113.55360829337306,22.18856284391036
B0KU59T5U7,电话亭,公共设施;公用电话;公用电话,200200,"81-87 AvXian Xing Hai,Macao",[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公用电话,公用电话,113.559625,22.18589,113.55454950554564,22.1888477302948
B073D0M431,公共厕所,公共设施;公共厕所;公共厕所,200300,友谊大马路与宋玉生广场辅路交叉口东北20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共厕所,公共厕所,113.554654,22.188169,113.54956616340236,22.191117720574525
B0KD16SHX6,公共厕所,公共设施;公共厕所;公共厕所,200300,南湾湖景大马路744-q号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,公共设施,公共厕所,公共厕所,113.543884,22.186734,113.53876676362424,22.18965794843582
