id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0KUF56XNE,北京协和医院澳门医学中心,医疗保健服务;综合医院;综合医院,090100,大马路与路氹连贯公路交叉口东南220米,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,医疗保健服务,综合医院,综合医院,113.570085,22.133214,113.56503523573394,22.13616919620621
B0FFL6M7SX,便民药房(威尼斯人店),医疗保健服务;医药保健销售店;药房,090601,大运河街897号3楼威尼斯人购物中心,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,医疗保健服务,医药保健销售店,药房,113.567469,22.143946,113.56241339409728,22.14690149581558
B0K22CF2QN,余仁生(威尼斯人购物中心店),医疗保健服务;医药保健销售店;药房,090601,路凼澳门威尼斯人度假村酒店大运河购物中心大运河街889铺,00853-28828760,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,医疗保健服务,医药保健销售店,药房,113.567177,22.144798,113.56212074552012,22.147753370611422
B073D00KF2,科大医院,医疗保健服务;综合医院;综合医院,090100,澳门科技大学H座,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,综合医院,综合医院,113.573383,22.151479,113.56833815146692,22.154445970132844
B0KDYAXPJ3,澳门淳溢药房,医疗保健服务;医药保健销售店;药房,090601,翡翠大厦官也街21号,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,医药保健销售店,药房,113.562122,22.150705,113.55705450526212,22.153654164122468
B073D00LXD,镜湖医院氹仔医疗中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,嘉模堂区排角路78号,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,医疗保健服务场所,医疗保健服务场所,113.559278,22.148556,113.5542040653531,22.15149909343573
B0KGUP1AD9,万宁mannings plus,医疗保健服务;医药保健销售店;药房,090601,"澳门澳门1034The Promenade,Galaxy1/F",[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,医疗保健服务,医药保健销售店,药房,113.558866,22.146696,113.55379120421564,22.149637583407905
B0I33AQVXA,泽永药房,医疗保健服务;医药保健销售店;药房,090601,飞能便度街43号,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,医药保健销售店,药房,113.562135,22.150524,113.55706754609254,22.153473117129742
B0FFKTCG41,北京同仁堂(澳门旗舰店),医疗保健服务;医药保健销售店;药房,090601,氹仔嘉模堂区孙逸仙博士大马路109号百利宝花园地下D座,00853-28842698,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,医药保健销售店,药房,113.564026,22.155125,113.55896244230708,22.158079197372384
B0FFFXX004,便民药房(花城店),医疗保健服务;医药保健销售店;药房,090601,凼仔南京街23号花城利茂AW座,00853-28839953,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,医药保健销售店,药房,113.563505,22.153997,113.558440374737,22.15694986740593
B0FFHW7N7E,海洋花园卫生中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,海洋花园大马路与卢伯德圆形地交叉口北180米,00853-28813089,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,医疗保健服务,医疗保健服务场所,医疗保健服务场所,113.547367,22.155816,113.5422617080958,22.158736733059605
B073D00EYB,澳门捐血中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,宋玉生广场335-341号获多利中心2层,00853-28569010,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医疗保健服务场所,医疗保健服务场所,113.554963,22.18652,113.54987605445352,22.189468768293395
B0FFHLNLPA,楼上-澳门主店,医疗保健服务;医药保健销售店;医疗保健用品,090602,殷皇子大马路43-53号澳门广场F2,00853-28356192,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,医疗保健用品,113.546391,22.188401,113.54128086937624,22.191331529132498
B073D00DR5,便民药房(罗马街),医疗保健服务;医药保健销售店;药房,090601,罗马街31号建兴龙广场地下E及F座,00853-28783887,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.556418,22.186102,113.55133473245466,22.18905357296231
B0FFIPNWI0,澳门银葵医院,医疗保健服务;综合医院;综合医院,090100,苏亚利斯博士大马路2号,00853-28322283,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,综合医院,综合医院,113.547182,22.186432,113.5420742294371,22.18936367281844
B0FFIK7UV9,健华养和(澳门MGM旗舰店),医疗保健服务;医药保健销售店;医疗保健用品,090602,澳门美高梅商场1楼9号铺,00853-28508036,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,医疗保健用品,113.552852,22.182305,113.5477598856074,22.18524782745789
B0J17AGPK7,康健药房(新口岸店),医疗保健服务;医药保健销售店;药房,090601,城市日大马路46号海景花园(利景阁)W座地下及一楼,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.554384,22.183421,113.54929577725092,22.186367456490604
B073D0M3SW,新永利药房,医疗保健服务;医药保健销售店;药房,090601,城市日大马路186号金苑大厦地下Y铺及二楼,00853-28288282,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.553986,22.184536,113.54889668478448,22.18748202855856
B0LB5UNP3D,永春药房(光辉店),医疗保健服务;医药保健销售店;药房,090601,澳门伦斯泰特大马路174号光辉苑(光辉商业中心)地下AO座,00853-28382616;00853-28862220,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.554667,22.18467,113.54957942004452,22.187617493390583
B0HU5RPJGL,新忠诚药房(永利分店),医疗保健服务;医药保健销售店;药房,090601,科英布拉街360号金苑大厦地下L座及2层M,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.554257,22.18502,113.5491683498709,22.18796676844487
B0FFG993QM,爱勤药房(皇朝店),医疗保健服务;医药保健销售店;药房,090601,科英布拉街与伦斯泰特大马路交叉口东60米,00853-28750299,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.55498,22.185032,113.54989319261772,22.187980269110053
B0FFHWQS7O,齿康牙科中心We Care Dental Center,医疗保健服务;专科医院;口腔医院,090202,科英布拉街与伦斯泰特大马路交叉口东60米,00853-28752662,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,专科医院,口腔医院,113.55498,22.185032,113.54989319261772,22.187980269110053
B0K1RZUWOJ,便民药房(光辉店),医疗保健服务;医药保健销售店;药房,090601,科英布拉街484号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.555286,22.185338,113.55019994742402,22.188287006719417
B0FFGXKU1H,麦茵兹医学美容诊所,医疗保健服务;专科医院;整形美容,090201,宋玉生广场光辉商业中心9层,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,专科医院,整形美容,113.555384,22.18526,113.55029819965488,22.18820917896421
B0J0B1QUPW,永春药房(获多利店),医疗保健服务;医药保健销售店;药房,090601,伦斯泰特大马路获多利大夏342号地下AR座,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,药房,113.554061,22.186187,113.54897177219796,22.18913377864813
B0IAC5OQXB,进补堂虫草燕窝专门店第九分店,医疗保健服务;医药保健销售店;医疗保健用品,090602,飞南第街中土大厦K铺,00853-28723949;00853-28750535,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,医药保健销售店,医疗保健用品,113.554638,22.185878,113.54955026897296,22.18882586757404
B0KD9S7AQ5,思博牙科(澳门)医疗中心,医疗保健服务;专科医院;口腔医院,090202,马济时总督大马路107号环宇豪庭地下AF座,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,医疗保健服务,专科医院,口腔医院,113.557935,22.185266,113.55285550639086,22.18822026976529
