id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B073D00DMH,华康地产,生活服务;中介机构;中介机构|购物服务;购物相关场所;购物相关场所,071600|060000,白朗古将军街与和乐坊二街交叉口东北20米,00853-28221071,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,生活服务,中介机构,中介机构|购物服务,113.549016,22.206066,113.54391207245318,22.209008743813826
B0KA2CD6M3,E.J.CHIANG工作室,生活服务;美容美发店;美容美发店|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,071100|061100,"安仿西街134号,Edificio Tong On,A",[],820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,生活服务,美容美发店,美容美发店|购物服务,113.541273,22.189816,113.53614784928224,22.192734614921385
B0JK1CIQEW,尊美雅集,生活服务;美容美发店;美容美发店|购物服务;购物相关场所;购物相关场所,071100|060000,东方斜巷与夜呣斜巷交叉口东北60米,[],820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,生活服务,美容美发店,美容美发店|购物服务,113.543765,22.19003,113.5386472050833,22.19295483525921
B0LGF4LVM5,La Maison VALMONT Macau Galaxy DFS,生活服务;美容美发店;美容美发店|购物服务;个人用品/化妆品店;其它个人用品店|购物服务;便民商店/便利店;便民商店/便利店,071100|061400|060200,排角路与地堡街交叉口南360米,00853-82971302,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,生活服务,美容美发店,美容美发店|购物服务,113.559838,22.145005,113.5547656122304,22.1479477616691
B0LGF4LVM5,La Maison VALMONT Macau Galaxy DFS,生活服务;美容美发店;美容美发店|购物服务;个人用品/化妆品店;其它个人用品店|购物服务;便民商店/便利店;便民商店/便利店,071100|061400|060200,排角路与地堡街交叉口南360米,00853-82971302,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,生活服务,美容美发店,美容美发店|购物服务,113.559838,22.145005,113.5547656122304,22.1479477616691
B0J10R1AA4,迪奥 澳门永利皇宫店,生活服务;美容美发店;美容美发店|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,071100|061100,溜冰路与机场大马路交叉口西280米,00853-28955119,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,生活服务,美容美发店,美容美发店|购物服务,113.576239,22.144582,113.5711994550718,22.14754986539009
B073D00DMH,华康地产,生活服务;中介机构;中介机构|购物服务;购物相关场所;购物相关场所,071600|060000,白朗古将军街与和乐坊二街交叉口东北20米,00853-28221071,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,生活服务,中介机构,中介机构|购物服务,113.549016,22.206066,113.54391207245318,22.209008743813826
B0KA2CD6M3,E.J.CHIANG工作室,生活服务;美容美发店;美容美发店|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,071100|061100,"安仿西街134号,Edificio Tong On,A",[],820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,生活服务,美容美发店,美容美发店|购物服务,113.541273,22.189816,113.53614784928224,22.192734614921385
B0JK1CIQEW,尊美雅集,生活服务;美容美发店;美容美发店|购物服务;购物相关场所;购物相关场所,071100|060000,东方斜巷与夜呣斜巷交叉口东北60米,[],820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,生活服务,美容美发店,美容美发店|购物服务,113.543765,22.19003,113.5386472050833,22.19295483525921
B0LGF4LVM5,La Maison VALMONT Macau Galaxy DFS,生活服务;美容美发店;美容美发店|购物服务;个人用品/化妆品店;其它个人用品店|购物服务;便民商店/便利店;便民商店/便利店,071100|061400|060200,排角路与地堡街交叉口南360米,00853-82971302,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,生活服务,美容美发店,美容美发店|购物服务,113.559838,22.145005,113.5547656122304,22.1479477616691
B0J10R1AA4,迪奥 澳门永利皇宫店,生活服务;美容美发店;美容美发店|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,071100|061100,溜冰路与机场大马路交叉口西280米,00853-28955119,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,生活服务,美容美发店,美容美发店|购物服务,113.576239,22.144582,113.5711994550718,22.14754986539009
B073D0M632,Mezza9 Macau,生活服务;生活服务场所;生活服务场所,070000,路凼连贯公路新濠天地君悦酒店3楼,00853-88681234;00853-88681920,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,生活服务,生活服务场所,生活服务场所,113.573023,22.145725,113.56797787713448,22.148689252812108
B0I1RL9GGR,帝湖水疗,生活服务;生活服务场所;生活服务场所,070000,澳门特别行政区嘉模堂区澳门特别行政区嘉模堂区凼仔岛凼仔嘉乐庇总督马路812-848号盛世酒店地面层及M字层,15363751313,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,生活服务,生活服务场所,生活服务场所,113.565138,22.153241,113.5600769558874,22.156196347450283
B073D00HXM,澳门赛马会,生活服务;彩票彩券销售点;马会投注站,071801,柯维纳马路,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,生活服务,彩票彩券销售点,马会投注站,113.556154,22.15383,113.55107213523488,22.156769028382715
B0FFHD2YZX,中国电信(澳门)(氹仔利民分店),生活服务;电讯营业厅;中国电信营业厅,070601,澳门特别行政区嘉模堂区氹仔孙逸仙博士大马路253号利民大厦地下C座,00853-63536449,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,生活服务,电讯营业厅,中国电信营业厅,113.563235,22.155817,113.5581696640051,22.15877009862316
B0K3MZISPP,Lidong Foot Massage,生活服务;洗浴推拿场所;洗浴推拿场所,071400,"China,Guangdong Province,Zhuhai,Xiangzhou,66,正西方向190米",[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,生活服务,洗浴推拿场所,洗浴推拿场所,113.55384,22.213492,113.54874845765175,22.21644777198416
