id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0G3R5AUP1,中国工商银行(银河分行),金融保险服务;银行;中国工商银行|体育休闲服务;体育休闲服务场所;体育休闲服务场所,160105|080000,澳门路凼填海区银河渡假城1楼商铺1065B,00853-83987254;00853-83987255,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,金融保险服务,银行,中国工商银行|体育休闲服务,113.557917,22.145233,113.55284001553338,22.148172179401552
B0G3R5AUP1,中国工商银行(银河分行),金融保险服务;银行;中国工商银行|体育休闲服务;体育休闲服务场所;体育休闲服务场所,160105|080000,澳门路凼填海区银河渡假城1楼商铺1065B,00853-83987254;00853-83987255,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,金融保险服务,银行,中国工商银行|体育休闲服务,113.557917,22.145233,113.55284001553338,22.148172179401552
B0K2XL8K3H,中国银行澳门分行,金融保险服务;银行;中国银行,160104,路凼连贯公路澳门伦敦人购物中心L3层,00853-87923160,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,金融保险服务,银行,中国银行,113.570447,22.143111,113.56539729778298,22.14607065162345
B0FFFHC0AZ,中国银行(威尼斯人购物中心),金融保险服务;银行;中国银行,160104,望德圣母湾大马路威尼斯人购物中心L3层,00853-83982268,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,金融保险服务,银行,中国银行,113.567145,22.144476,113.56208870061842,22.14743119368314
B0FFHWRW8L,中国银行(新濠支行),金融保险服务;银行;中国银行,160104,路凼连贯公路新濠天地新濠大道2楼F292号商铺,00853-28824561,820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,金融保险服务,银行,中国银行,113.569745,22.146092,113.5646937642532,22.149051797941578
B073D00K4J,中国银行(凼仔支行),金融保险服务;银行;中国银行,160104,埃武拉街388号地下,00853-28827093,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,金融保险服务,银行,中国银行,113.563548,22.154744,113.55848342166132,22.157697229305697
B0KA2CCJEQ,珠海农商银行ATM,金融保险服务;银行;农村商业银行,160121,中国CN广东省珠海市香洲区1楼,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,金融保险服务,银行,农村商业银行,113.556045,22.21241,113.55095912342634,22.21536994786284
B073D0MQCG,TRAVELEX,金融保险服务;金融保险服务机构;金融保险机构,160000,西湾湖广场南50米,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,金融保险服务机构,金融保险机构,113.542765,22.177047,113.53764510250367,22.17996470567559
B0FFKX3OHM,澳门发展银行,金融保险服务;银行;银行,160100,宋玉生广场22号双钻大厦,00853-28337766,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,银行,113.557232,22.184284,113.55215085597158,22.18723653825545
B073D00B9L,大西洋银行(光辉苑分行),金融保险服务;银行;银行,160100,科英布拉街396号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,银行,113.554607,22.184973,113.54951924774234,22.18792047827249
B0J03L5LU7,中国银行(双钻全自动保管箱中心),金融保险服务;银行;中国银行,160104,孙逸仙大马路1561-1659号双钻地下N、O铺,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,中国银行,113.557732,22.184191,113.55265208229012,22.1871444868417
B073D00FJ6,中国银行24小时自助银行(皇朝财富中心),金融保险服务;自动提款机;中国银行ATM,160301,澳门特别行政区大堂区科英布拉街431-437号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,自动提款机,中国银行ATM,113.554721,22.185458,113.5496335072488,22.188405888364112
B073D00FJI,广发银行(新口岸支行),金融保险服务;银行;广发银行,160120,宋玉生广场181-187号光辉(集团)商业中心18层,00853-28750328;00853-83986701,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,广发银行,113.555518,22.185357,113.55043253094964,22.18830648710485
B0KDY1XM3T,中国建设银行,金融保险服务;银行;中国建设银行,160106,马济时总督大马路43号新口岸,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,中国建设银行,113.558002,22.18486,113.55292269456218,22.187814254144904
B073D00B9J,中国人寿(海外)保险股份有限公司(澳门分公司),金融保险服务;保险公司;中国人寿保险公司,160402,宋玉生广场255、263号中土大厦I-P座22层,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,保险公司,中国人寿保险公司,113.555074,22.18574,113.54998738564478,22.1886887166597
B073D00DR4,澳门国际银行(建兴龙分行),金融保险服务;银行;银行,160100,澳门新口岸宋玉生广场238-286号建兴龙广场地下I铺及J铺,00853-28701935;00853-28702800,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,银行,113.556425,22.186089,113.5513417506565,22.18904058232534
B073D00LRY,澳门国际银行ATM(建兴龙分行),金融保险服务;自动提款机;自动提款机,160300,澳门新口岸宋玉生广场238-286号建兴龙广场地下I铺及J铺,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,自动提款机,自动提款机,113.556423,22.186089,113.5513397456933,22.18904057831809
B0FFKS8OAF,立桥银行(皇朝分行),金融保险服务;银行;银行,160100,宋玉生广场与圣德伦街交叉口南20米,00853-28338003,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,银行,113.554996,22.186638,113.54990913061592,22.189586878436323
B0FFIVWNFF,永亨银行,金融保险服务;银行;银行,160100,伦斯泰特大马路与圣德伦街交叉口西北40米,00853-28723031,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,金融保险服务,银行,银行,113.553304,22.1866,113.54821278932708,22.18954533454553
